iter	Accuracy	MultiClass
313	0.9815286306	0.07434456012
314	0.9816783985	0.07423376772
315	0.9816783985	0.07406083114
316	0.9816783985	0.07396045913
317	0.981878089	0.07377587451
318	0.9819280116	0.07365924757
319	0.9818281663	0.07357308946
320	0.9820278568	0.07345715637
321	0.9819280116	0.07337575856
322	0.9819280116	0.0732789986
323	0.9820777794	0.07320839695
324	0.9821277021	0.07300440939
325	0.9822275473	0.07277026446
326	0.9822275473	0.07262736322
327	0.9823273925	0.0724553223
328	0.9822774699	0.07218219766
329	0.982527083	0.07199856077
330	0.9824771604	0.0719182353
331	0.9824771604	0.0718419523
332	0.9824771604	0.07160115064
333	0.9826768509	0.07145101304
334	0.9826768509	0.0713801505
335	0.9827766961	0.07116841748
336	0.9827766961	0.07104067643
337	0.9829763866	0.07091515577
338	0.982926464	0.07083674651
339	0.9828266187	0.07061389239
340	0.9829763866	0.07051798309
341	0.9831261545	0.07030652657
342	0.9831760771	0.07023504997
343	0.9832759223	0.0700487172
344	0.9833258449	0.0698404028
345	0.983575458	0.06963837528
346	0.9837252259	0.06937382163
347	0.9837252259	0.06924815939
348	0.9838749938	0.06900852506
349	0.9840247616	0.06884281122
350	0.9841246069	0.0686404256
351	0.9841745295	0.06857946943
352	0.9841246069	0.0684955765
353	0.9842244521	0.06836454681
354	0.9842743747	0.06815498148
355	0.9842743747	0.06791288557
356	0.9842244521	0.06763399203
357	0.9842244521	0.06752418576
358	0.9843242973	0.06747474612
359	0.9843242973	0.06741153847
360	0.9842743747	0.06724372663
361	0.98437422	0.06717648938
362	0.9845239878	0.06707358405
363	0.9845239878	0.06697335984
364	0.9846737557	0.06675747858
365	0.9847736009	0.06667104556
366	0.9848235235	0.06656840038
367	0.9847736009	0.06636690289
368	0.9848235235	0.06612209866
369	0.9848235235	0.06596842234
370	0.9848734462	0.06588480451
371	0.9849233688	0.06578756045
372	0.9850731366	0.0656953781
373	0.9850731366	0.06558082367
374	0.9852229045	0.06548247
375	0.9852728271	0.06533888199
376	0.985422595	0.06525621497
377	0.9855224402	0.06515939223
378	0.9855723628	0.06501826963
379	0.9857221307	0.06498132891
380	0.9857221307	0.06487614642
381	0.9857221307	0.06478115462
382	0.9857720533	0.06470885728
383	0.9857720533	0.06462754219
384	0.9858718986	0.0645285447
385	0.9860216664	0.06439090976
386	0.986071589	0.06432369753
